name|sid|call|icon|city|state|tagline
National Public Radio|1|None|None|Washington|DC|Brings you there
KALW-FM|2|KALW|http://media.npr.org/images/stations/logos/kalw_fm.gif|San Francisco|CA|Your Local Public Radio Station
KAMU-FM|3|KAMU|http://media.npr.org/images/stations/logos/kamu_fm.gif|College Station|TX|The Quality Choice
KANU-FM|5|KANU|http://media.npr.org/images/stations/logos/kanu_fm.gif|Lawrence|KS|Your place to find NPR News.
KANH-FM|6|KANH|http://media.npr.org/images/stations/logos/kanh_fm.gif|Emporia|KS|Your Place to Find NPR News
KANW-FM|7|KANW|http://media.npr.org/images/stations/logos/kanw_fm.gif|Albuquerque|NM|New Mexico Public Radio
KANZ-FM|9|KANZ|http://media.npr.org/images/stations/logos/kanz_fm.gif|Garden City|KS|High Plains Public Radio is in touch with the world...at home on the high plains.
KZNA-FM|10|KZNA|http://media.npr.org/images/stations/logos/kzna_fm.gif|Hill City|KS|High Plains Public Radio
KASU-FM|11|KASU|http://media.npr.org/images/stations/logos/kasu_fm.gif|Jonesboro|AR|Unique and Enriching Public Radio
KAWC-AM|12|KAWC|http://media.npr.org/images/stations/logos/kawc_am.gif|Yuma|AZ|Colorado River Public Media
KAWC-FM|13|KAWC|http://media.npr.org/images/stations/logos/kawc_fm.gif|Yuma|AZ|Colorado River Public Media
KAXE-FM|14|KAXE|http://media.npr.org/images/stations/logos/kaxe_fm.gif|Grand Rapids|MN|Authentic Local Radio
KAZU-FM|15|KAZU|http://media.npr.org/images/stations/logos/kazu_fm.gif|Seaside|CA|NPR for the Monterey Bay Area
KBAQ-FM|16|KBAQ|http://media.npr.org/images/stations/logos/kbaq_fm.gif|Phoenix|AZ|Your Classical Companion
KBIA-FM|17|KBIA|http://media.npr.org/images/stations/logos/kbia_fm.gif|Columbia|MO|Your NPR Station
KBSU-FM|21|KBSU|http://media.npr.org/images/stations/logos/kbsu_fm.gif|Boise|ID|Enriching Your Life
KBSM-FM|22|KBSM|http://media.npr.org/images/stations/logos/kbsm_fm.gif|McCall|ID|Enriching Your Life
