007 Al servicio secreto de su Majestad	6,9
007: Alta tension (1987)	6,7
007: Diamantes para la eternidad	6,7
007: El hombre de la pistola de oro (1974)	6,7
007: El mañana nunca muere (1997)	6,4
007: James Bond contra Goldfinger (1964)	7,9
007: La espía que me amó (1977)	7,1
007: Muere otro dia (2002)	6,0
007: Nunca digas nunca jamás (1983)	6,0
007: Octopussy	6,6
007: Sólo se vive dos veces	7,0
12 trampas: 12 rounds (2009)	5,4
16 calles (2006)	6,7
2 ladrones y medio (2006)	6,6
28 semanas despues (2007)	7,1
300 (2007)	7,8
60 segundos (2000)	6,0
A contrarreloj (2003)	6,5
A tiro limpio: Pistol whipped (2008)	5,5
A todo gas 2 (2003)	5,1
A2 racer: Gas a fondo (2004)	4,2
Abierto hasta el amanecer (1996)	7,1
Acción Jackson (1988)	4,5
Aeon Flux (2005)	5,5
Aeropuerto (1970)	6,5
Aeropuerto 77 (1977)	5,4
Agente Alien (2007)	4,3
Águila de acero (1986)	5,0
Águila de acero 2 (1988)	3,3
Águila de acero 3 (1992)	3,2
Águila de acero 4 (1995)	2,9
Águila negra (1988)	3,0
Air panic (2001)	4,1
Ajuste de cuentas (2001)	5,9
Al ataque Kung-Fu Kids (1986)	5,0
Alatriste (2006)	6,0
Alerta máxima (1992)	6,3
Alerta maxima 2 (1995)	5,0
Alone in the Dark (2005)	2,3
Amanecer rojo (1984)	5,8
Amor a quemarropa (1993)	7,9
Amor Xtremo (2006)	3,7
Another public enemy (2005)	5,9
Apocalypse Now (1979)	8,6
Arac Attack. Eight Legged Freaks (2002)	5,4
Arenas rojas: Red sands (2009)	4,6
Arma letal (1987)	7,6
Arma letal 2	7,0
Arma letal 3	6,5
Arma letal 4	6,4
Arma perfecta (1991)	5,2
Asalto al distrito 13 (2005)	6,3
Asesinos	5,9
Azumi (2003)	7,0
Azumi 2: Death or love (2005)	6,3
Bangkok Dangerous (2007)	5,4
Batman (1989)	7,6
Batman Begins (2005)	8,3
Battle Royale 2: Requiem (2003)	4,7
Black dog (1998)	4,9
Blade	6,9
Blade 2 (2002)	6,6
Blade Trinity (2004)	5,7
Blanco humano (1993)	5,7
Bloodrayne (2006)	2,6
Bloody Mallory (2002)	4,5
Brigada 49 (2004)	6,5
Buscando justicia (1991)	5,3
Búsqueda implacable: Taken (2008)	7,9
Capitán América (1990)	2,8
Cara a cara (1997)	7,2
Casino Royale (2006)	8,0
Catwoman (2004)	3,2
Cazadores de mentes (2004)	6,2
Cazadores de tesoros (2007)	3,4
Chacal (1997)	5,9
Chantaje (2007)	6,7
City Hunter (1993)	6,2
Ciudad sin ley (2005)	5,1
Clementine (2004)	8,7
Cobra, el brazo fuerte de la Ley (1986)	4,8
Cocodrilo Dundee (1986)	6,5
Cocodrilo Dundee en Los Ángeles (2001)	4,6
Código de silencio (1985)	5,6
Collateral (2004)	7,8
Comando suicida (1988)	5,3
Con air: Convictos en el aire (1997)	6,6
Conan el barbaro (1982)	6,8
Constantine (2007)	6,7
Contacto sangriento (1988)	6,2
Contra el muro (1994)	6,6
Contract Killers	4,3
Corre Lola, corre (1999)	8,0
Corrupcion en Miami (2006)	6,0
Crank: veneno en la sangre (2006)	7,1
D.E.B.S. Espías en acción (2005)	5,2
Danko, calor rojo (1988)	5,6
Danny the dog (2005)	7,1
Daredevil (2003)	5,5
Darkman (1990)	6,3
Darkman 3: Muere Darkman muere (1996)	4,6
De ladrón a policía (1999)	5,9
De profesión asesino (2002)	5,0
Death Proof (2007)	7,2
Death race: La carrera de la muerte (2008)	6,7
Deep rising: El misterio de las profundidades (1998)	5,6
Demolition man (1993)	6,3
Depredador (1987)	7,8
Depredador 2 (1990)	5,9
Desaparecido en combate (1984)	4,7
Desde Pekín con amor (1994)	7,1
Desperation	5,3
Destino de caballero (2001)	6,6
Deudas de sangre (2007)	6,3
Dia de entrenamiento: Trainig day (2001)	7,6
Dias de trueno (1990)	5,4
Dinero sucio (2008)	6,1
Distrito 13 (2004)	6,3
Dobermann (1997)	6,4
Doble mortal (1995)	5,8
Dog Soldiers (2002)	6,8
Domino (2005)	5,9
Doom (2005)	5,2
Doomsday, el dia del juicio (2007)	6,1
Dos chalados y muchas curvas (2005)	4,7
Dos policias rebeldes (1995)	6,6
Dos policías rebeldes 2 (2003)	6,2
Dos super dos (1984)	8,1
Double team (1997)	4,1
Dragon Ball Evolution (2009)	3,3
Dragon Lord (1982)	6,5
Dragon Tiger Gate (2006)	6,2
Dragon Wars: D-Wars (2007)	3,8
Dragón: la historia de Bruce Lee	6,8
Dragón: la historia de Bruce Lee (1993)	6,8
Driven (2001)	4,2
Duro de matar (1995)	8,3
Ejecutor (1986)	4,9
El Arcangel: Missionary man (2007)	6,9
El arte de la guerra	5,5
El arte de la guerra 2 (2008)	5,5
El arte de la guerra 3 (2009)	5,5
El asesino: War (2007)	7,5
El avispón verde (1966)	7,8
El caballero oscuro (Batman 2)	8,9
El cadillac rosa (1989)	4,9
El caso Bourne (2002)	7,7
El castigador 2: Zona de guerra (2008)	6,2
El castigador: The punisher (2004)	6,4
El círculo de hierro (1978)	5,5
El clan de los rompehuesos (2005)	6,2
El coche fantástico: Knight Rider (2008)	7,0
El coloso en llamas (1974)	6,8
El detonador (2006)	4,8
El dia de mañana (2004)	6,3
El esmoquin (2002)	5,0
El especialista	4,9
El francotirador (2001)	8,2
El fuego de la venganza (2004)	7,7
El furor del dragón (1972)	7,0
El gran golpe (2004)	7,5
El guerrero americano (1985)	4,7
El guerrero americano 3 (1989)	2,6
El guerrero numero 13 (1999)	6,2
El guerrero rojo (1985)	4,3
El hijo pródigo (1982)	7,7
El hombre de la mascara de hierro (1982)	6,1
El hombre del presidente (2000)	8,0
El imperio del fuego (2002)	5,9
El increible Hulk	7,2
El increible Hulk (2008)	7,2
El ladron de Shanghai (2006)	5,5
El luchador	8,3
El luchador manco 2 (1975)	6,5
El mensajero del infierno (1994)	4,0
El mexicano (2003)	6,2
El mito de Bourne	7,6
El Monje (2003)	5,2
El mono borracho en el ojo del tigre (1978)	7,6
El pacificador	5,8
El pacto de los lobos (2001)	7,0
El patriota (2000)	6,8
El patrullero: Patrulla fronteriza	5,5
El poder del talismán (2003)	4,7
El primer gran asalto al tren (1979)	6,9
El puño del dragón: Dragon fist (1979)	5,7
El quinto hombre (2001)	8,0
El regreso de los supercamorristas (1985)	6,0
El reino prohibido (2008)	6,8
El rey de Nueva York	6,9
El rey escorpion (2002)	5,3
El Rey Escorpion 2: El nacimiento del guerrero (2008)	3,8
El santo (1997)	5,9
El señor de la guerra (2005)	7,7
El Superchef (1997)	5,9
El truco final: El prestigio (2007)	8,4
El ultimatum de Bourne (2007)	8,2
El último boy scout (1991)	6,7
El ultimo golpe (2001)	6,4
El último gran héroe (1993)	5,8
El último hombre (1996)	6,0
El vuelo de la ira (2007)	3,4
Elektra (2005)	4,9
En busca de un heroe (2008)	5,7
En el ojo del huracan (1998)	4,1
En el ojo del tigre (1990)	7,6
En el punto de mira: Shoot em up (2007)	7,0
En las manos de Dios	5,0
En tierra peligrosa 2 (1997)	3,8
Encerrado (1989)	5,7
End game	5,1
Enemigos: Ecks contra Sever (2002)	3,4
Eraser (1996)	5,9
Escape de Absolom (1994)	5,7
Estallido (1995)	6,4
Exiled (2006)	6,9
Fearless: Sin miedo (2006)	7,7
Fireball (2009)	5,8
Firefox (1982)	5,6
Firewall (2006)	5,8
Forbidden Warrior (2004)	3,6
Friday Night Lights (2004)	8,6
Frío como el acero: Stone cold (1992)	5,2
Frontera limite (2008)	5,4
Fuera de control (2007)	6,5
Full contact: Contacto total	7,2
Furia en dos ruedas (2003)	3,5
FX, efectos mortales	6,5
FX2, ilusiones mortales	5,3
G.I. Joe (2009)	5,9
Gabriel (2007)	5,4
Garo (2005)	7,4
Get rich or die tryin (2005)	3,9
Get rich or die tryin&acute; (2005)	3,9
Ghost Rider, el motorista fantasma (2007)	5,2
Golpe al amanecer (2005)	3,8
Guardianes del día (2006)	7,8
Hagan juego: Oceans Eleven (2001)	7,6
Hancock (2008)	6,6
Hard corps (2006)	5,2
Hard Rain (1997)	8,3
Harry el ejecutor (1976)	6,6
Harry el fuerte (1973)	7,0
